Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
PAULO MIGUEL DE CAMPOS PETRONI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.913,37",,"62.820,14","3.638,42","7.143,57","621,55",,"11.403,54","51.416,60",,
MARCIO ORLANDO BARTOLI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","19.381,00",,"61.287,77","3.638,42","7.017,59",,,"10.656,01","50.631,76",,
FERNANDO ANTONIO FERREIRA RODRIGUES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73","211,38",,"10.919,53","49.328,04",,
CARLOS AUGUSTO LORENZETTI BUENO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.946,18",,"5.191,73","22.811,93",,"66.420,95","3.807,11","7.445,07","211,38",,"11.463,56","54.957,39",,
PERICLES DE TOLEDO PIZA JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"9.561,55","19.381,00",,"65.657,59","3.638,42","7.226,14",,,"10.864,56","54.793,03",,
JOAO CARLOS SALETTI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","11.209,65","47,14","53.163,56","3.638,42","7.186,97","5.387,30",,"16.212,69","36.950,87",,
RENATO SANDRESCHI SARTORELLI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.853,33","18.888,43",,"61.456,80","3.638,42","7.226,14",,,"10.864,56","50.592,24",,
FABIO POCAS LEITAO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","6.965,45","9.276,31",,"19.880,18","40.367,39",,
GETULIO EVARISTO DOS SANTOS NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","10.080,63",,"5.342,23","18.340,80","16.538,31","80.773,08","7.475,12","8.450,39","2.076,60",,"18.002,11","62.770,97",,
CARLOS ALBERTO LOPES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.490,26",,"5.191,73","20.421,20",,"64.574,30","5.884,75","8.803,12","3.622,44",,"18.310,31","46.263,99",,
MANOEL DE QUEIROZ PEREIRA CALCAS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","9.369,38",,"5.191,73","19.128,17","686,38","64.846,77","5.843,74","8.864,77","211,38",,"14.919,89","49.926,88",,
ITAMAR GAINO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.375,84",,"5.191,73","21.881,00",,"65.919,68","5.770,33","7.121,87",,,"12.892,20","53.027,48",,
ROQUE ANTONIO MESQUITA DE OLIVEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.244,05",,"5.191,73","18.340,80",,"60.247,69","3.638,54","7.174,00","1.233,58",,"12.046,12","48.201,57",,
ANTONIO JOSE SILVEIRA PAULILO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.446,41",,"5.191,73","20.840,80",,"63.950,05","4.840,90","7.226,14","211,38",,"12.278,42","51.671,63",,
ROBERTO GALVAO DE FRANCA CARVALHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.441,49",,"5.191,73","18.340,80",,"61.445,13","4.835,98","7.848,57","1.608,52",,"14.293,07","47.152,06",,
